"","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases","Estimated number of malaria cases"
"Countries, territories and areas"," 2021"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","193 232 [149 000-245 000]","253 150 [195 000-321 000]","413 480 [319 000-525 000]","633 500 [485 000-810 000]","798 871 [608 000-1 022 000]","733 205 [532 000-985 000]","368 235 [253 000-514 000]","319 142 [221 000-443 000]","279 634 [143 000-446 000]","220 653 [122 000-356 000]","362 319 [200 000-571 000]","292 015 [166 000-459 000]","274 981 [149 000-455 000]","402 909 [211 000-709 000]","452 626 [238 000-776 000]","418 216 [221 000-717 000]","535 477 [315 000-860 000]","716 954 [480 000-1 072 000]","1 242 906 [810 000-1 916 000]","1 382 972 [916 000-2 106 000]","1 312 939 [849 000-2 007 000]","1 312 939 [843 000-2 022 000]"
"Algeria","0","0","0","0","0","0","0","0","8","55","1","1","0","3","26","1","1","2","5","10","6","34"
"Angola","8 794 084 [5 818 000-12 740 000]","8 410 016 [5 591 000-12 200 000]","7 352 473 [5 514 000-9 561 000]","6 700 267 [5 140 000-8 519 000]","6 312 055 [4 902 000-8 010 000]","5 523 430 [4 280 000-6 989 000]","4 969 705 [3 800 000-6 372 000]","4 524 454 [3 416 000-5 923 000]","4 201 780 [3 119 000-5 552 000]","3 884 445 [2 902 000-5 100 000]","3 812 871 [2 845 000-5 003 000]","4 035 439 [3 010 000-5 309 000]","4 429 795 [3 343 000-5 763 000]","5 063 972 [3 863 000-6 515 000]","5 736 210 [4 435 000-7 278 000]","6 076 182 [4 693 000-7 752 000]","6 146 933 [4 635 000-7 996 000]","5 889 113 [4 083 000-8 234 000]","5 686 167 [3 647 000-8 424 000]","5 414 605 [3 325 000-8 296 000]","5 533 981 [3 373 000-8 504 000]","5 339 605 [3 236 000-8 305 000]"
"Argentina","0","0","0","0","0","0","0","0","0","0","0","54","92","105","328","172","231","116","124","125","215","440"
"Armenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","47","29","52","79","141"
"Azerbaijan","0","0","0","0","0","0","0","0","0","3","4","50","78","72","108","141","242","386","480","505","1 054","1 526"
"Bangladesh","8 974 [7 700-10 000]","7 545 [6 400-8 800]","21 202 [18 000-25 000]","12 397 [11 000-14 000]","33 331 [30 000-37 000]","31 621 [29 000-35 000]","45 478 [41 000-50 000]","66 274 [60 000-74 000]","31 594 [28 000-35 000]","35 375 [31 000-40 000]","63 432 [54 000-73 000]","69 307 [59 000-80 000]","80 603 [68 000-94 000]","121 043 [96 000-150 000]","126 937 [78 000-185 000]","68 539 [41 000-103 000]","103 199 [46 000-165 000]","101 645 [44 000-164 000]","99 970 [43 000-158 000]","98 239 [42 000-157 000]","96 431 [43 000-152 000]","94 616 [42 000-151 000]"
"Belize","0","0","0","3","7","4","9","19","20","33","72","150","256","540","845","844","1 549","1 066","1 324","1 134","1 162","1 486"
"Benin","4 983 668 [3 541 000-6 875 000]","4 781 051 [3 327 000-6 563 000]","4 937 253 [3 806 000-6 291 000]","4 872 597 [3 843 000-6 058 000]","4 876 484 [3 919 000-5 953 000]","4 721 694 [3 833 000-5 784 000]","4 260 585 [3 398 000-5 273 000]","3 917 119 [3 056 000-4 932 000]","3 753 591 [2 912 000-4 731 000]","3 650 774 [2 831 000-4 614 000]","3 703 932 [2 862 000-4 723 000]","3 862 955 [3 027 000-4 873 000]","4 032 019 [3 225 000-5 026 000]","4 183 971 [3 413 000-5 108 000]","4 220 168 [3 456 000-5 116 000]","4 140 781 [3 366 000-5 049 000]","4 026 128 [3 266 000-4 910 000]","3 859 662 [3 088 000-4 763 000]","3 601 326 [2 826 000-4 523 000]","3 371 811 [2 620 000-4 264 000]","3 107 278 [2 389 000-3 960 000]","2 886 309 [2 153 000-3 813 000]"
